image_id,border_diff_percent,image_symmetry
ISIC_0001769,1.1751662971175165,1.0983839460131415
ISIC_0001852,1.1422902494331066,1.1268163804491413
ISIC_0001871,1.0596553247901017,1.0706887152462294
ISIC_0003462,1.1670506912442395,1.0878926038500507
ISIC_0003539,1.1712626995645863,1.0712563298770195
ISIC_0003582,1.2345530893821235,1.0895788836112086
ISIC_0003657,1.3381245722108146,1.064294561423263
ISIC_0003805,1.0694815606627472,1.1160782321564644
ISIC_0004337,1.2175516224188792,1.0488233227959256
ISIC_0006651,1.11352133044107,1.0508946322067594
ISIC_0006671,1.0857317819963257,1.0675045611189946
ISIC_0006815,1.075293056807935,1.1656746031746033
ISIC_0006914,1.290924276169265,1.0658912028975414
ISIC_0007141,1.22272288381075,1.0516112227431718
ISIC_0007156,1.0794824399260627,1.032118758434548
ISIC_0007235,1.1569239500567536,1.0484522207267832
ISIC_0007241,1.2591847005535983,1.0622873053521709
ISIC_0007332,1.158351409978308,1.0354762416684584
ISIC_0007344,1.3942712721145745,1.1399336730567013
ISIC_0007528,1.0790292470441818,1.0638566912539515
ISIC_0007796,1.2876288659793815,1.0759181661326103
ISIC_0008025,1.1968271040602312,1.0582880045805898
ISIC_0008524,1.1697266421868624,1.2695171751141003
ISIC_0009995,1.6281866281866282,1.0379943584134477
ISIC_0010459,1.2733173898189272,1.1423372422159321
ISIC_0012099,1.0528846153846154,1.105697770437655
ISIC_0012109,1.3185763888888888,1.1012402653591
ISIC_0012126,1.0070505287896592,1.062857142857143
ISIC_0012127,1.0563991323210413,1.1383625312835182
ISIC_0012143,1.4415455746367238,1.2018971040894528
ISIC_0012151,1.5358366647629926,1.1578947368421053
ISIC_0012159,1.3647227533460804,1.1995620038324664
ISIC_0012160,1.28287841191067,1.2003338898163607
ISIC_0012191,1.1480127912288716,1.0541974606784157
ISIC_0012201,1.2233344839489126,1.0948192538179007
ISIC_0012204,1.3278688524590163,1.1658622202720492
ISIC_0012206,1.3134396355353075,1.2034866771616815
ISIC_0012210,1.5689977173687486,1.137419648732095
ISIC_0012221,1.1189189189189188,1.073008073008073
ISIC_0012222,1.2103298070939639,1.1201347305389222
ISIC_0012254,1.5048821906177032,1.1038130687990881
ISIC_0012256,1.3789872853000222,1.1827279324701119
ISIC_0012288,1.1143465909090908,1.1410645618295892
ISIC_0012306,1.2311435523114356,1.1130841121495327
ISIC_0012313,1.0834976988823142,1.0868708971553611
ISIC_0012316,1.0980392156862746,1.0919067215363512
ISIC_0012335,1.2803158488437676,1.1042854127084654
ISIC_0012380,1.1897404202719406,1.0549125979505727
ISIC_0012383,1.3627387851470272,1.0561122244488979
ISIC_0012400,1.3055978095527836,1.1135796739950112
ISIC_0012417,1.5376344086021505,1.1381999003109349
ISIC_0012434,1.1111111111111112,1.0675927494494324
ISIC_0012492,1.0762383900928794,1.0929102554663919
ISIC_0012513,1.2941755768148564,1.1048906177939082
ISIC_0012538,1.3705245628642797,1.1681661815295052
ISIC_0012547,1.2102009273570324,1.1053695665100791
ISIC_0012660,1.2177068214804063,1.145204500803715
ISIC_0012684,1.227744573765335,1.0614618692011768
ISIC_0012720,1.2999106344950848,1.1736538103223402
ISIC_0012746,1.4050179211469533,1.223482077542063
ISIC_0012876,1.0825617283950617,1.0722093408413382
ISIC_0012927,1.4928181716958022,1.211872012009072
